GO:0070935	3'-UTR-mediated mRNA stabilization
TAO:0001465	photoreceptor inner segment layer
GO:0060342^OBO_REL:part_of(TAO:0009154)	photoreceptor inner segment membrane of eye photoreceptor cell
GO:0001917^OBO_REL:part_of(TAO:0009154)	photoreceptor inner segment of eye photoreceptor cell
GO:0001917^OBO_REL:part_of(TAO:0009262)	photoreceptor inner segment of retinal cone cell
GO:0001917^OBO_REL:part_of(TAO:0009275)	photoreceptor inner segment of retinal rod cell
TAO:0001466	photoreceptor outer segment layer
TAO:0001466^OBO_REL:part_of(TAO:0000152)	photoreceptor outer segment layer of retina
GO:0042622^OBO_REL:part_of(TAO:0009154)	photoreceptor outer segment membrane of eye photoreceptor cell
GO:0042622^OBO_REL:part_of(TAO:0009127)	photoreceptor outer segment membrane of photoreceptor cell
GO:0042622^OBO_REL:part_of(TAO:0001466)	photoreceptor outer segment membrane of photoreceptor outer segment layer
GO:0001750^OBO_REL:part_of(TAO:0001094)	photoreceptor outer segment of body
GO:0001750^OBO_REL:part_of(TAO:0009154)	photoreceptor outer segment of eye photoreceptor cell
GO:0001750^OBO_REL:part_of(TAO:0009127)	photoreceptor outer segment of photoreceptor cell
GO:0001750^OBO_REL:part_of(TAO:0001466)	photoreceptor outer segment of photoreceptor outer segment layer
GO:0001750^OBO_REL:part_of(TAO:0000152)	photoreceptor outer segment of retina
GO:0001750^OBO_REL:part_of(TAO:0009262)	photoreceptor outer segment of retinal cone cell
GO:0001750^OBO_REL:part_of(TAO:0009275)	photoreceptor outer segment of retinal rod cell
GO:0042331	phototaxis
GO:0043476	pigment accumulation
TAO:0009090	pigment cell
TAO:0009170	pigment cell (sensu Vertebrata)
TAO:0009170^OBO_REL:part_of(TAO:0001115)	pigment cell (sensu Vertebrata) of trunk
GO:0070285	pigment cell development
GO:0050931	pigment cell differentiation
TAO:0009090^OBO_REL:part_of(VSAO:0000164)	pigment cell of caudal fin
TAO:0009090^OBO_REL:part_of(TAO:0000107)	pigment cell of eye
TAO:0009090^OBO_REL:part_of(TAO:0001114)	pigment cell of head
TAO:0009090^OBO_REL:part_of(TAO:0001117)	pigment cell of post-vent region
TAO:0009090^OBO_REL:part_of(TAO:0001115)	pigment cell of trunk
GO:0051877	pigment granule aggregation in cell center
GO:0051876	pigment granule dispersal
GO:0048757	pigment granule maturation
GO:0048770^OBO_REL:part_of(TAO:0001094)	pigment granule of body
GO:0048770^OBO_REL:part_of(TAO:0009199)	pigment granule of iridophore
GO:0048770^OBO_REL:part_of(TAO:0009091)	pigment granule of melanocyte
GO:0048770^OBO_REL:part_of(TAO:0009241)	pigment granule of pigmented epithelial cell
GO:0048770^OBO_REL:part_of(TAO:0000144)	pigment granule of retinal pigmented epithelium
GO:0048770^OBO_REL:part_of(TAO:0009198)	pigment granule of xanthophore
GO:0043473	pigmentation
TAO:0009241	pigmented epithelial cell
TAO:0007054	pillar of the anterior semicircular canal
TAO:0007055	pillar of the lateral semicircular canal
ZFA:0007056	pillar of the posterior semicircular canal
TAO:0002223	pillar of the semicircular canal
TAO:0001359	pineal complex
GO:0021982	pineal gland development
GO:0005886^OBO_REL:part_of(CL:0000138)	plasma membrane of chondrocyte
GO:0005886^OBO_REL:part_of(TAO:0005123)	plasma membrane of gut epithelium
GO:0005886^OBO_REL:part_of(TAO:0009367)	plasma membrane of neuromast hair cell
GO:0005886^OBO_REL:part_of(TAO:0009256)	plasma membrane of nucleate erythrocyte
GO:0005886^OBO_REL:part_of(TAO:0009076)	plasma membrane of oligodendrocyte
GO:0005886^OBO_REL:part_of(TAO:0001558)	plasma membrane of pronephric tubule
GO:0070527	platelet aggregation
TAO:0002224	pleuroperitoneal cavity
TAO:0001430	pneumatic duct
TAO:0009285	podocyte
GO:0009951	polarity specification of dorsal/ventral axis
GO:0007315	pole plasm assembly
GO:0019094	pole plasm mRNA localization
TAO:0000058	polster
GO:0005844^OBO_REL:part_of(TAO:0001094)	polysome of body
GO:0046930^OBO_REL:part_of(TAO:0000105)	pore complex of epidermis
GO:0006778	porphyrin-containing compound metabolic process
CARO:0000004^OBO_REL:part_of(TAO:0000001)	portion of organism substance of Kupffer's vesicle
GO:0046956	positive phototaxis
GO:0030177	positive regulation of Wnt receptor signaling pathway
GO:0043065	positive regulation of apoptotic process
GO:0060472	positive regulation of cortical granule exocytosis by elevation of cytosolic calcium ion concentration
GO:0010628	positive regulation of gene expression
GO:0045944	positive regulation of transcription from RNA polymerase II promoter
GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress
GO:0045893	positive regulation of transcription, DNA-dependent
TAO:0001117	post-vent region
VSAO:0000093	postcranial axial skeleton
TAO:0000477	posterior cardinal vein
TAO:0000627	posterior ceratohyal
GO:0021961	posterior commissure morphogenesis
TAO:0005001	posterior communicating artery
TAO:0000566	posterior crista
TAO:0000411	posterior crista primordium
TAO:0000706	posterior intestine
TAO:0005128	posterior intestine epithelium
TAO:0001293	posterior kidney
TAO:0000944	posterior lateral line
GO:0048916	posterior lateral line development
TAO:0000175	posterior lateral line nerve
GO:0048918	posterior lateral line nerve development
TAO:0000940	posterior lateral line neuromast
GO:0048922	posterior lateral line neuromast deposition
GO:0048919	posterior lateral line neuromast development
GO:0035677	posterior lateral line neuromast hair cell development
GO:0048920	posterior lateral line neuromast primordium migration
TAO:0001156	posterior lateral line placode
TAO:0001157	posterior lateral line primordium
TAO:0005040	posterior lateral mesoderm
TAO:0000558	posterior macula
TAO:0005079	posterior mesencephalic central artery
TAO:0007023	posterior neural keel
TAO:0007037	posterior neural tube
TAO:0001370	posterior pancreatic bud
TAO:0002225	posterior pronephric duct
BSPO:0000072^OBO_REL:part_of(TAO:0001094)	posterior region of body
BSPO:0000072^OBO_REL:part_of(TAO:0000112)	posterior region of gut
BSPO:0000072^OBO_REL:part_of(TAO:0000029)	posterior region of hindbrain
BSPO:0000072^OBO_REL:part_of(TAO:0000032)	posterior region of hypothalamus
BSPO:0000072^OBO_REL:part_of(TAO:0005124)	posterior region of intestinal epithelium
BSPO:0000072^OBO_REL:part_of(TAO:0001089)	posterior region of myoseptum
BSPO:0000072^OBO_REL:part_of(TAO:0000403)	posterior region of ovary
BSPO:0000072^OBO_REL:part_of(TAO:0000060)	posterior region of prechordal plate
BSPO:0000072^OBO_REL:part_of(TAO:0002289)	posterior region of sclera
BSPO:0000072^OBO_REL:part_of(TAO:0001462)	posterior region of somite border
BSPO:0000072^OBO_REL:part_of(TAO:0001115)	posterior region of trunk
ZFA:0005567	posterior segment eye
TAO:0000262	posterior semicircular canal
TAO:0000412	posterior semicircular canal primordium
BSPO:0000056^OBO_REL:part_of(TAO:0000032)	posterior side of hypothalamus
BSPO:0000056^OBO_REL:part_of(VSAO:0000032)	posterior side of notochord
BSPO:0000037^OBO_REL:part_of(TAO:0000217)	posterior-most of inner ear
BSPO:0000037^OBO_REL:part_of(TAO:0000940)	posterior-most of posterior lateral line neuromast
BSPO:0000037^OBO_REL:part_of(TAO:0000155)	posterior-most of somite
BSPO:0000030^OBO_REL:part_of(TAO:0000445)	postero-dorsal  region of optic tectum
BSPO:0000030^OBO_REL:part_of(TAO:0000079)	postero-dorsal  region of telencephalon
BSPO:0000028^OBO_REL:part_of(TAO:0001423)	postero-lateral region of parachordal cartilage
BSPO:0000689^OBO_REL:part_of(TAO:0000250)	postero-ventral margin of opercle
BSPO:0000035^OBO_REL:part_of(TAO:0001595)	postero-ventral region of pharyngeal arch 1
BSPO:0000035^OBO_REL:part_of(TAO:0005037)	postero-ventral region of tail vasculature
BSPO:0000035^OBO_REL:part_of(TAO:0001069)	postero-ventral region of ventral fin fold
TAO:0000059	postoptic commissure
GO:0097107	postsynaptic density assembly
GO:0014069^OBO_REL:part_of(TAO:0000175)	postsynaptic density of posterior lateral line nerve
GO:0005267	potassium channel activity
GO:0034705^OBO_REL:part_of(TAO:0005277)	potassium channel complex of skeletal muscle
GO:0031054	pre-miRNA processing
TAO:0000263	precaudal vertebra
TAO:0000060	prechordal plate
GO:0021501	prechordal plate formation
TAO:0000567	premaxilla
TAO:0000470	preoptic area
TAO:0005344	preopticohypothalamic tract
GO:0060134	prepulse inhibition
TAO:0002228	presumptive atrium heart tube
TAO:0000568	presumptive blood
TAO:0002231	presumptive cardiac ventricle heart tube
TAO:0000574	presumptive diencephalon
TAO:0000265	presumptive dorsal mesoderm
TAO:0002233^OBO_REL:part_of(TAO:0000028)	presumptive endocardium of heart primordium
TAO:0000416	presumptive endoderm
TAO:0001334	presumptive enteric nervous system
TAO:0001377	presumptive mesoderm
TAO:0000063	presumptive neural plate
TAO:0000591	presumptive paraxial mesoderm
TAO:0001070	presumptive pronephric mesoderm
TAO:0001071	presumptive retina
TAO:0001213	presumptive rhombomere 3
TAO:0001211	presumptive rhombomere 5
TAO:0000571	presumptive telencephalon
GO:0048786^OBO_REL:part_of(TAO:0009052)	presynaptic active zone of motor neuron
GO:0048788^OBO_REL:part_of(TAO:0009154)	presynaptic cytoskeletal matrix assembled at active zones of eye photoreceptor cell
GO:0048788^OBO_REL:part_of(TAO:0009367)	presynaptic cytoskeletal matrix assembled at active zones of neuromast hair cell
GO:0048788^OBO_REL:part_of(TAO:0009318)	presynaptic cytoskeletal matrix assembled at active zones of retinal bipolar neuron
GO:0048788^OBO_REL:part_of(TAO:0009262)	presynaptic cytoskeletal matrix assembled at active zones of retinal cone cell
GO:0097105	presynaptic membrane assembly
TAO:0000418	pretectum
GO:0072372^OBO_REL:part_of(TAO:0001094)	primary cilium of body
GO:0072372^OBO_REL:part_of(TAO:0000100)	primary cilium of cerebellum
GO:0072372^OBO_REL:part_of(TAO:0001135)	primary cilium of neural tube
GO:0072372^OBO_REL:part_of(TAO:0000051)	primary cilium of otic vesicle
GO:0072372^OBO_REL:part_of(TAO:0000155)	primary cilium of somite
TAO:0001122	primary germ layer
TAO:0005026	primary head sinus
TAO:0009244	primary motor neuron
TAO:0009244^OBO_REL:part_of(TAO:0000075)	primary motor neuron of spinal cord
TAO:0009244^OBO_REL:part_of(TAO:0001115)	primary motor neuron of trunk
TAO:0009242	primary neuron
TAO:0009242^OBO_REL:part_of(TAO:0001064)	primary neuron of rhombomere
TAO:0009242^OBO_REL:part_of(TAO:0001366)	primary neuron of tract of the postoptic commissure
GO:0060319	primitive erythrocyte differentiation
TAO:0000149	primitive heart tube
GO:0060215	primitive hemopoiesis
TAO:0009288	primordial germ cell
TAO:0001052	primordial hindbrain channel
TAO:0005017	primordial midbrain channel
TAO:0009350	pro-T cell
TAO:0001834^OBO_REL:part_of(TAO:0001399)	process of palatoquadrate cartilage
TAO:0000066	proctodeum
GO:0012501	programmed cell death
TAO:0009204	prolactin secreting cell
GO:0060127	prolactin secreting cell differentiation
TAO:0000098^OBO_REL:part_of(TAO:0001286)	proliferative region of caudal vein plexus
TAO:0000098^OBO_REL:part_of(TAO:0000107)	proliferative region of eye
TAO:0000098^OBO_REL:part_of(TAO:0001135)	proliferative region of neural tube
TAO:0000098^OBO_REL:part_of(TAO:0000077)	proliferative region of tail bud
TAO:0005312	pronephric capsular space
TAO:0002236	pronephric distal early tubule
ZFA:0001624	pronephric distal late tubule
TAO:0000150	pronephric duct
GO:0039022	pronephric duct development
TAO:0001055	pronephric duct opening
TAO:0005313	pronephric glomerular basement membrane
TAO:0005309	pronephric glomerular capillary
TAO:0005310	pronephric glomerular capsule
TAO:0001557	pronephric glomerulus
GO:0035775	pronephric glomerulus morphogenesis
TAO:0002237	pronephric podocyte
TAO:0002238	pronephric proximal convoluted tubule
TAO:0002239	pronephric proximal straight tubule
TAO:0001558	pronephric tubule
TAO:0000151	pronephros
GO:0048793	pronephros development
GO:0072114	pronephros morphogenesis
TAO:0000068	proneural cluster
GO:0007344	pronuclear fusion
GO:0035046	pronuclear migration
GO:0045120^OBO_REL:part_of(CARO:0000013)	pronucleus of cell
TAO:0005049	prosencephalic artery
GO:0043161	proteasomal ubiquitin-dependent protein catabolic process
GO:0006487	protein N-linked glycosylation
GO:0046777	protein autophosphorylation
GO:0006486	protein glycosylation
GO:0004672	protein kinase activity
GO:0019887	protein kinase regulator activity
GO:0006497	protein lipidation
GO:0008104	protein localization
GO:0034394	protein localization at cell surface
GO:0071896	protein localization to adherens junction
GO:0071539	protein localization to centrosome
GO:0019538	protein metabolic process
GO:0018158	protein oxidation
GO:0006468	protein phosphorylation
GO:0018342	protein prenylation
GO:0009306	protein secretion
GO:0004674^OBO_REL:part_of(TAO:0000008)	protein serine/threonine kinase activity of brain
GO:0004674^OBO_REL:part_of(TAO:0000107)	protein serine/threonine kinase activity of eye
GO:0004674^OBO_REL:part_of(TAO:0001338)	protein serine/threonine kinase activity of intestine
GO:0004674^OBO_REL:part_of(TAO:0000529)	protein serine/threonine kinase activity of kidney
GO:0004674^OBO_REL:part_of(TAO:0000123)	protein serine/threonine kinase activity of liver
GO:0004674^OBO_REL:part_of(TAO:0000075)	protein serine/threonine kinase activity of spinal cord
GO:0016925	protein sumoylation
GO:0030166	proteoglycan biosynthetic process
GO:0015992	proton transport
TAO:0005227^OBO_REL:part_of(TAO:0001157)	protoneuromast of posterior lateral line primordium
ZFA:0005581	proximal pars anterior
BSPO:0000077^OBO_REL:part_of(TAO:0001238)	proximal region of iris
BSPO:0000077^OBO_REL:part_of(TAO:0001321)	proximal region of neurocranial trabecula
BSPO:0000077^OBO_REL:part_of(TAO:0000150)	proximal region of pronephric duct
GO:0043700^OBO_REL:part_of(TAO:0001114)	pterinosome of head
GO:0043700^OBO_REL:part_of(TAO:0001115)	pterinosome of trunk
GO:0043700^OBO_REL:part_of(TAO:0009198)	pterinosome of xanthophore
TAO:0001283	pupil
TAO:0000621	quadrate
GO:0016075	rRNA catabolic process
GO:0006364	rRNA processing
TAO:0009292	radial glial cell
TAO:0009292^OBO_REL:part_of(TAO:0000029)	radial glial cell of hindbrain
TAO:0009292^OBO_REL:part_of(TAO:0000445)	radial glial cell of optic tectum
GO:0043113	receptor clustering
GO:0006898	receptor-mediated endocytosis
GO:0005713^OBO_REL:part_of(TAO:0009005)	recombination nodule of spermatocyte
GO:0055038^OBO_REL:part_of(TAO:0000150)	recycling endosome membrane of pronephric duct
TAO:0009224	red sensitive photoreceptor cell
TAO:0001269	regenerating fin
TAO:0001269^OBO_REL:part_of(VSAO:0000164)	regenerating fin of caudal fin
TAO:0001269^OBO_REL:part_of(VSAO:0000165)	regenerating fin of dorsal fin
TAO:0005147^OBO_REL:part_of(TAO:0000123)	regenerating tissue of liver
TAO:0005147^OBO_REL:part_of(TAO:0001269)	regenerating tissue of regenerating fin
GO:0031099	regeneration
GO:0003002	regionalization
GO:0043484	regulation of RNA splicing
GO:2000298	regulation of Rho-dependent protein serine/threonine kinase activity
GO:2000249	regulation of actin cytoskeleton reorganization
GO:0001508	regulation of action potential
GO:0019228	regulation of action potential in neuron
GO:0000381	regulation of alternative nuclear mRNA splicing, via spliceosome
GO:0045765	regulation of angiogenesis
GO:0042981	regulation of apoptotic process
GO:0008217	regulation of blood pressure
GO:0046850	regulation of bone remodeling
GO:0031548	regulation of brain-derived neurotrophic factor receptor signaling pathway
GO:0031413	regulation of buoyancy
GO:0060828	regulation of canonical Wnt receptor signaling pathway
GO:0055117	regulation of cardiac muscle contraction
GO:0010882	regulation of cardiac muscle contraction by calcium ion signaling
GO:0051726	regulation of cell cycle
GO:0071156	regulation of cell cycle arrest
GO:0010564	regulation of cell cycle process
GO:0030334	regulation of cell migration
GO:0060491	regulation of cell projection assembly
GO:0042127	regulation of cell proliferation
GO:0060784	regulation of cell proliferation involved in tissue homeostasis
GO:0032847	regulation of cellular pH reduction
GO:0003356	regulation of cilium beat frequency
GO:0042752	regulation of circadian rhythm
GO:0032965	regulation of collagen biosynthetic process
GO:0048814	regulation of dendrite morphogenesis
GO:0042663	regulation of endodermal cell fate specification
GO:0040036	regulation of fibroblast growth factor receptor signaling pathway
GO:0010468	regulation of gene expression
GO:0010906	regulation of glucose metabolic process
GO:0060123	regulation of growth hormone secretion
GO:0008016	regulation of heart contraction
GO:0002027	regulation of heart rate
GO:0010310	regulation of hydrogen peroxide metabolic process
GO:0060080	regulation of inhibitory postsynaptic membrane potential
GO:0070507	regulation of microtubule cytoskeleton organization
GO:0007346	regulation of mitotic cell cycle
GO:0009794	regulation of mitotic cell cycle, embryonic
GO:0002761	regulation of myeloid leukocyte differentiation
GO:0061074	regulation of neural retina development
GO:0050767	regulation of neurogenesis
GO:0030278	regulation of ossification
GO:0006885	regulation of pH
GO:0014066	regulation of phosphatidylinositol 3-kinase cascade
GO:0090313	regulation of protein targeting to membrane
GO:0010849	regulation of proton-transporting ATPase activity, rotational mechanism
GO:0014861	regulation of skeletal muscle contraction via membrane action potential
GO:0008589	regulation of smoothened signaling pathway
GO:0050803	regulation of synapse structure and activity
GO:0051966	regulation of synaptic transmission, glutamatergic
GO:0060092	regulation of synaptic transmission, glycinergic
GO:0051972	regulation of telomerase activity
GO:0006357	regulation of transcription from RNA polymerase II promoter
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress
GO:0006355	regulation of transcription, DNA-dependent
GO:0051969	regulation of transmission of nerve impulse
GO:0042516	regulation of tyrosine phosphorylation of Stat3 protein
GO:0030947	regulation of vascular endothelial growth factor receptor signaling pathway
GO:0060307	regulation of ventricular cardiomyocyte membrane repolarization
GO:0051209	release of sequestered calcium ion into cytosol
GO:0070293	renal absorption
TAO:0005289	renal duct
GO:0097205	renal filtration
TAO:0001288	renal glomeruli
TAO:0001288^OBO_REL:part_of(TAO:0000529)	renal glomeruli of kidney
TAO:0000163	renal system
GO:0003014	renal system process
TAO:0001287	renal tubule
GO:0061326	renal tubule development
GO:0019098	reproductive behavior
GO:0022414	reproductive process
GO:0045730	respiratory burst
GO:0002536	respiratory burst involved in inflammatory response
GO:0022904	respiratory electron transport chain
GO:0007585	respiratory gaseous exchange
GO:0010165	response to X-ray
GO:0009646	response to absence of light
GO:0001975	response to amphetamine
GO:0010996	response to auditory stimulus
GO:0009617	response to bacterium
GO:0042221	response to chemical stimulus
GO:0042493	response to drug
GO:0034976	response to endoplasmic reticulum stress
GO:0045471	response to ethanol
GO:0009605	response to external stimulus
GO:0010332	response to gamma radiation
GO:0009408	response to heat
GO:0010212	response to ionizing radiation
GO:0009642	response to light intensity
GO:0009416	response to light stimulus
GO:0009612	response to mechanical stimulus
GO:0035094	response to nicotine
GO:0006970	response to osmotic stress
GO:0006979	response to oxidative stress
GO:0009651	response to salt stress
GO:0042594	response to starvation
GO:0009266	response to temperature stimulus
GO:0009611	response to wounding
GO:0009410	response to xenobiotic stimulus
TAO:0000152	retina
GO:0060041	retina development in camera-type eye
GO:0010842	retina layer formation
GO:0060042	retina morphogenesis in camera-type eye
TAO:0009318	retinal bipolar neuron
GO:0060040	retinal bipolar neuron differentiation
GO:0061304	retinal blood vessel morphogenesis
GO:0046666	retinal cell programmed cell death
TAO:0009262	retinal cone cell
GO:0046549	retinal cone cell development
GO:0042670	retinal cone cell differentiation
TAO:0009262^OBO_REL:part_of(TAO:0000143)	retinal cone cell of retinal photoreceptor layer
TAO:0009310	retinal ganglion cell
GO:0031290	retinal ganglion cell axon guidance
TAO:0000024	retinal ganglion cell layer
TAO:0009310^OBO_REL:part_of(TAO:0000107)	retinal ganglion cell of eye
TAO:0009310^OBO_REL:part_of(TAO:0000152)	retinal ganglion cell of retina
TAO:0009310^OBO_REL:part_of(TAO:0000024)	retinal ganglion cell of retinal ganglion cell layer
TAO:0000119	retinal inner nuclear layer
TAO:0001329	retinal inner plexiform layer
TAO:0000046	retinal neural layer
TAO:0001464	retinal outer nuclear layer
TAO:0001330	retinal outer plexiform layer
TAO:0000143	retinal photoreceptor layer
GO:0003406	retinal pigment epithelium development
TAO:0000144	retinal pigmented epithelium
TAO:0009275	retinal rod cell
GO:0046548	retinal rod cell development
GO:0060221	retinal rod cell differentiation
TAO:0009275^OBO_REL:part_of(TAO:0001466)	retinal rod cell of photoreceptor outer segment layer
TAO:0009275^OBO_REL:part_of(TAO:0000143)	retinal rod cell of retinal photoreceptor layer
GO:0034653	retinoic acid catabolic process
GO:0048384	retinoic acid receptor signaling pathway
GO:0001523	retinoid metabolic process
TAO:0000422	retroarticular
GO:0046154	rhodopsin metabolic process
TAO:0001440	rhombic lip
TAO:0001064	rhombomere
TAO:0001031	rhombomere 1
TAO:0000822	rhombomere 2
TAO:0000948	rhombomere 3
TAO:0001032	rhombomere 4
GO:0021570	rhombomere 4 development
TAO:0000823	rhombomere 5
GO:0021571	rhombomere 5 development
TAO:0000069	rhombomere 6
GO:0021572	rhombomere 6 development
TAO:0000949	rhombomere 7
TAO:0000153	rhombomere 8
GO:0021654	rhombomere boundary formation
GO:0021594	rhombomere formation
GO:0021593	rhombomere morphogenesis
TAO:0001064^OBO_REL:part_of(TAO:0000029)	rhombomere of hindbrain
TAO:0000538	rib
GO:0000028	ribosomal small subunit assembly
GO:0005840^OBO_REL:part_of(TAO:0001094)	ribosome of body
BSPO:0000007^OBO_REL:part_of(TAO:0000197)	right side of dorsal nucleus
BSPO:0000007^OBO_REL:part_of(TAO:0000213)	right side of habenula
TAO:0009321	rod bipolar cell
TAO:0001311	roof plate rhombomere
GO:0021903	rostrocaudal neural tube patterning
GO:0005791^OBO_REL:part_of(TAO:0000031)	rough endoplasmic reticulum of hypochord
GO:0005791^OBO_REL:part_of(VSAO:0000032)	rough endoplasmic reticulum of notochord
GO:0005791^OBO_REL:part_of(CL:0000062)	rough endoplasmic reticulum of osteoblast
GO:0001726^OBO_REL:part_of(TAO:0000086)	ruffle of EVL
GO:0005219	ryanodine-sensitive calcium-release channel activity
TAO:0000428	saccule
TAO:0000676	sagitta
GO:0042383^OBO_REL:part_of(TAO:0005145)	sarcolemma of muscle
GO:0042383^OBO_REL:part_of(TAO:0001056)	sarcolemma of myotome
GO:0042383^OBO_REL:part_of(TAO:0009115)	sarcolemma of skeletal muscle cell
GO:0030017^OBO_REL:part_of(TAO:0000471)	sarcomere of atrium
GO:0030017^OBO_REL:part_of(TAO:0009316)	sarcomere of cardiac muscle cell
GO:0030017^OBO_REL:part_of(TAO:0000009)	sarcomere of cardiac ventricle
GO:0030017^OBO_REL:part_of(TAO:0009117)	sarcomere of fast muscle cell
GO:0030017^OBO_REL:part_of(TAO:0000114)	sarcomere of heart
GO:0030017^OBO_REL:part_of(TAO:0005145)	sarcomere of muscle
GO:0030017^OBO_REL:part_of(TAO:0009114)	sarcomere of muscle cell
GO:0030017^OBO_REL:part_of(TAO:0001056)	sarcomere of myotome
GO:0030017^OBO_REL:part_of(TAO:0005277)	sarcomere of skeletal muscle
GO:0030017^OBO_REL:part_of(TAO:0009115)	sarcomere of skeletal muscle cell
GO:0030017^OBO_REL:part_of(TAO:0009116)	sarcomere of slow muscle cell
GO:0030017^OBO_REL:part_of(TAO:0000473)	sarcomere of trunk musculature
GO:0030017^OBO_REL:part_of(TAO:0005061)	sarcomere of ventricular myocardium
GO:0045214	sarcomere organization
GO:0048769	sarcomerogenesis
GO:0016528^OBO_REL:part_of(TAO:0009115)	sarcoplasm of skeletal muscle cell
GO:0016528^OBO_REL:part_of(TAO:0000473)	sarcoplasm of trunk musculature
GO:0033017^OBO_REL:part_of(TAO:0005277)	sarcoplasmic reticulum membrane of skeletal muscle
GO:0016529^OBO_REL:part_of(TAO:0009117)	sarcoplasmic reticulum of fast muscle cell
GO:0016529^OBO_REL:part_of(TAO:0005145)	sarcoplasmic reticulum of muscle
GO:0016529^OBO_REL:part_of(TAO:0009114)	sarcoplasmic reticulum of muscle cell
GO:0016529^OBO_REL:part_of(TAO:0009115)	sarcoplasmic reticulum of skeletal muscle cell
GO:0016529^OBO_REL:part_of(TAO:0000473)	sarcoplasmic reticulum of trunk musculature
GO:0014841	satellite cell proliferation
VSAO:0000048	scale
TAO:0001455	scapulocoracoid cartilage
TAO:0001455^OBO_REL:part_of(TAO:0005317)	scapulocoracoid cartilage of pectoral fin fold
TAO:0001509	sclerotic cartilage
TAO:0001080	sclerotome
GO:0061056	sclerotome development
TAO:0009247	secondary motor neuron
GO:0014021	secondary neural tube formation
GO:0030141^OBO_REL:part_of(TAO:0001282)	secretory granule of adenohypophysis
GO:0030141^OBO_REL:part_of(TAO:0009094)	secretory granule of goblet cell
GO:0030141^OBO_REL:part_of(TAO:0009151)	secretory granule of hatching gland cell
GO:0007367	segment polarity determination
TAO:0000279	segmental plate
GO:0035282	segmentation
GO:0035474	selective angioblast sprouting
TAO:0000431	semicircular canal
GO:0060872	semicircular canal development
GO:0060876	semicircular canal formation
GO:0048752	semicircular canal morphogenesis
GO:0070654	sensory epithelium regeneration
TAO:0009053	sensory neuron
TAO:0009053^OBO_REL:part_of(TAO:0000075)	sensory neuron of spinal cord
TAO:0009053^OBO_REL:part_of(TAO:0000295)	sensory neuron of trigeminal ganglion
TAO:0009053^OBO_REL:part_of(TAO:0000162)	sensory neuron of trigeminal placode
GO:0050953	sensory perception of light stimulus
GO:0007605	sensory perception of sound
GO:0050975	sensory perception of touch
TAO:0000282	sensory system
GO:0004252	serine-type endopeptidase activity
TAO:0009361^OBO_REL:part_of(TAO:0000101)	serotonergic neuron of diencephalon
TAO:0009361^OBO_REL:part_of(TAO:0001155)	serotonergic neuron of enteric nervous system
TAO:0009361^OBO_REL:part_of(TAO:0000109)	serotonergic neuron of forebrain
TAO:0009361^OBO_REL:part_of(TAO:0000029)	serotonergic neuron of hindbrain
GO:0042428	serotonin metabolic process
TAO:0000071	shield
GO:0072331	signal transduction by p53 class mediator
GO:0042770	signal transduction in response to DNA damage
TAO:0005069	sinoatrial node
TAO:0000154	sinus venosus
TAO:0005277	skeletal muscle
GO:0071340	skeletal muscle acetylcholine-gated channel clustering
TAO:0009115	skeletal muscle cell
GO:0035914	skeletal muscle cell differentiation
TAO:0009115^OBO_REL:part_of(TAO:0001056)	skeletal muscle cell of myotome
TAO:0009115^OBO_REL:part_of(TAO:0001117)	skeletal muscle cell of post-vent region
TAO:0009115^OBO_REL:part_of(TAO:0000155)	skeletal muscle cell of somite
TAO:0009115^OBO_REL:part_of(TAO:0000473)	skeletal muscle cell of trunk musculature
GO:0014856	skeletal muscle cell proliferation
GO:0003009	skeletal muscle contraction
GO:0048741	skeletal muscle fiber development
GO:0030241	skeletal muscle myosin thick filament assembly
TAO:0005277^OBO_REL:part_of(TAO:0001056)	skeletal muscle of myotome
GO:0060538	skeletal muscle organ development
GO:0007519	skeletal muscle tissue development
GO:0014866	skeletal myofibril assembly
VSAO:0000027	skeletal system
GO:0001501	skeletal system development
GO:0048705	skeletal system morphogenesis
GO:0043589	skin morphogenesis
GO:0030431	sleep
TAO:0009116	slow muscle cell
TAO:0009116^OBO_REL:part_of(TAO:0001056)	slow muscle cell of myotome
TAO:0009116^OBO_REL:part_of(TAO:0001117)	slow muscle cell of post-vent region
TAO:0009116^OBO_REL:part_of(TAO:0000155)	slow muscle cell of somite
TAO:0009116^OBO_REL:part_of(TAO:0000473)	slow muscle cell of trunk musculature
GO:0031444	slow-twitch skeletal muscle fiber contraction
GO:0030532^OBO_REL:part_of(CARO:0000013)	small nuclear ribonucleoprotein complex of cell
GO:0005790^OBO_REL:part_of(TAO:0005169)	smooth endoplasmic reticulum of intrahepatic bile duct
TAO:0005274	smooth muscle
GO:0051145	smooth muscle cell differentiation
TAO:0009118^OBO_REL:part_of(TAO:0000112)	smooth muscle cell of gut
TAO:0009118^OBO_REL:part_of(TAO:0001338)	smooth muscle cell of intestine
TAO:0009118^OBO_REL:part_of(TAO:0000706)	smooth muscle cell of posterior intestine
GO:0030485^OBO_REL:part_of(TAO:0001338)	smooth muscle contractile fiber of intestine
TAO:0005274^OBO_REL:part_of(TAO:0001338)	smooth muscle of intestine
